run,result,welds,misalign_deg,abort_stage,error,duration_s,classification
1,ABORTED,3,14.6|14.3|15.0,-,gripper closed without contacting the object,410,move_group_crash
2,COMPLETE,4,14.1|15.1|14.2|14.8,-,-,399,pass
3,ABORTED,3,14.5|15.3|16.1,-,gripper closed without contacting the object,408,move_group_crash
4,ABORTED,2,14.8|14.9,-,gripper closed without contacting the object,348,move_group_crash
5,ABORTED,0
0,-,-,grasp-close kick rotated the box 89.935899 deg in the gripper (re-grasp needed),217,move_group_crash
6,ABORTED,2,13.8|15.0,-,gripper closed without contacting the object,349,move_group_crash
7,ABORTED,2,14.1|15.0,-,held-box orientation check failed: sensor_cam_3 magnet face is 39.833730 deg off the wall approach direction (limit 30.0,335,move_group_crash
8,ABORTED,3,14.2|14.3|14.9,-,gripper closed without contacting the object,414,move_group_crash
9,COMPLETE,4,13.7|14.3|14.8|14.7,-,-,410,pass
10,ABORTED,2,15.6|14.7,-,held-box orientation check failed: sensor_cam_3 magnet face is 41.890261 deg off the wall approach direction (limit 30.0,345,move_group_crash
